"id","group","expLabels","condition","order","set","gender","age","race","engNative","ole","parentEd","trial_type","trial_index","image1","image2","sound1","sound2","sound","correct","selected_image","response_location","accuracy","firstPres","secondPres","thirdPres"
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",1,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture8.jpg","right",0,1,6,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",2,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",3,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,4,8,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",4,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",5,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","right",1,2,5,9
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",6,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture1.jpg","right",0,2,8,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",7,"picture8.jpg","picture4.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,4,6,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",8,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,1,7,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",1,"picture2.jpg","picture5.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","left",1,1,5,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",2,"picture6.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",3,"picture5.jpg","picture3.jpg",NA,NA,"word5.aiff","picture5.jpg","picture3.jpg","right",0,2,6,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",4,"picture8.jpg","picture2.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,1,8,12
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",5,"picture8.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,2,8,11
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",6,"picture4.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture3.jpg","right",1,4,6,11
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",7,"picture1.jpg","picture7.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","left",1,3,7,12
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",8,"picture1.jpg","picture6.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","right",1,4,7,9
